60.0,984.0,2468.0,1388.0,2732.0,1938.0,2574.0,1660.0,324.0,1792.0
1045.0,2902.0,447.0,2884.0,2960.0,2984.0,205.0,1085.0,780.0,269.0
1166.0,2173.0,2618.0,2316.0,2081.0,1532.0,1081.0,976.0,1518.0,2124.0
2221.0,1933.0,1561.0,2351.0,2319.0,2410.0,2560.0,1458.0,2702.0,2960.0
1835.0,1447.0,2239.0,2531.0,1434.0,997.0,3042.0,1444.0,1512.0,1846.0
2341.0,2333.0,2346.0,2070.0,2730.0,2978.0,2695.0,1993.0,2836.0,2019.0
2909.0,2302.0,2222.0,1951.0,3076.0,2600.0,1951.0,2960.0,2004.0,2926.0
2978.0,2830.0,2876.0,2986.0,2780.0,2864.0,2706.0,2974.0,1622.0,2924.0
2374.0,2786.0,1861.0,1505.0,2926.0,2820.0,2858.0,2804.0,3034.0,2769.0
2750.0,1995.0,2635.0,3016.0,2810.0,2195.0,2580.0,2784.0,2778.0,2327.0
2912.0,2932.0,2834.0,3006.0,2866.0,1735.0,2910.0,2910.0,1150.0,2838.0
2958.0,2867.0,2946.0,3066.0,1784.0,2830.0,2732.0,2372.0,1913.0,2130.0
3112.0,3080.0,2932.0,1753.0,3000.0,2896.0,3054.0,2914.0,3044.0,2908.0
3030.0,1895.0,2053.0,3034.0,2652.0,3016.0,3094.0,2898.0,2966.0,2736.0
2224.0,3100.0,2996.0,1889.0,3076.0,2756.0,2996.0,3090.0,2968.0,3158.0
3006.0,3056.0,2958.0,2952.0,2431.0,2598.0,2940.0,2548.0,2512.0,1815.0
